month,n_edges_total,n_failed_edges,n_trucks,n_routes_found,frac_routes_found,evac_edges_count,evac_total_length_m,n_exits,n_exits_reached,frac_exits_reached,access_frac,mean_dist,median_dist,dist_p50_m,dist_p75_m,dist_p90_m,dist_p95_m,scenario_id,seed,water_over_threshold,p_background,allocation_method,n_people_allocated,n_frames,date_start,date_end
oct,2320,69,20,19,0.95,255,270980.6992788883,17,16,0.9411764705882353,0.8137122268367533,881.6561776387657,565.7843533642542,286.39831104686476,750.1910911215499,1689.521205083096,2901.9601424788134,barpeta_oct_wot_0p95_seed_1,1,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2307,82,20,16,0.8,211,216531.01630229616,17,13,0.7647058823529411,0.8148326578216187,870.115055067233,561.2890371668718,286.3359981603683,745.4775585806728,1682.9857915858156,2897.7381908554607,barpeta_oct_wot_0p95_seed_3,3,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2322,67,20,20,1.0,240,265870.28511861264,17,17,1.0,0.8157423829487578,870.5338836600125,561.2078929629604,288.35949072781995,743.9189379370882,1678.273276218991,2894.1840701615965,barpeta_oct_wot_0p95_seed_5,5,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2331,58,20,18,0.9,244,268713.1428290067,17,15,0.8823529411764706,0.8157816963166478,868.5597186580234,558.7710436855267,284.8112416290844,742.4384348501397,1678.2810730903345,2894.1840701615965,barpeta_oct_wot_0p95_seed_7,7,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2317,72,20,17,0.85,215,236537.97597040344,17,14,0.8235294117647058,0.8158737723624955,868.5893573100691,558.2229723040612,285.25700320103743,741.967690756215,1678.2160270277452,2894.1840701615965,barpeta_oct_wot_0p95_seed_21,21,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2324,65,20,17,0.85,250,219886.43587392982,17,14,0.8235294117647058,0.8082273223078879,882.8299625834499,575.2478643770805,292.95668929064516,771.7760687241573,1738.9243417554108,2908.024259105943,barpeta_oct_wot_0p95_seed_42,42,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2336,53,20,19,0.95,190,217836.55501790525,17,16,0.9411764705882353,0.7996401102567542,956.6141565576078,599.454124545876,303.4573412364976,803.890633237679,1916.4549998809844,3997.0722346186662,barpeta_oct_wot_0p95_seed_57,57,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2331,58,20,17,0.85,261,254003.6617309774,17,14,0.8235294117647058,0.8151709596979354,879.5336787391576,560.7285916683459,285.7774397559047,745.0775285016205,1680.8126284978857,2898.800933410143,barpeta_oct_wot_0p95_seed_100,100,0.95,0.02,raster,2899777,28,2025-05-01,2025-10-31
