month,n_edges_total,n_failed_edges,n_trucks,n_routes_found,frac_routes_found,evac_edges_count,evac_total_length_m,n_exits,n_exits_reached,frac_exits_reached,access_frac,mean_dist,median_dist,dist_p50_m,dist_p75_m,dist_p90_m,dist_p95_m,scenario_id,seed,p_background,allocation_method,n_people_allocated,n_frames,date_start,date_end
oct,2320,69,20,19,0.95,241,271679.39171126887,17,16,0.9411764705882353,0.8137108474203362,881.6587179817743,565.784763756637,286.39924217090686,750.2139687471612,1689.5343933168735,2901.959273810181,barpeta_oct_seed_1,1,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2322,67,20,20,1.0,236,271715.0073422386,17,17,1.0,0.815742727802862,870.536200444769,561.2054104185954,288.347194264761,743.9207029574028,1678.3087646246072,2894.1972495349937,barpeta_oct_seed_5,5,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2331,58,20,18,0.9,254,275567.71175991156,17,15,0.8823529411764706,0.8157820411707521,868.5623339882118,558.769040675946,284.8533963213518,742.4045332156794,1678.3638984491042,2894.1972495349937,barpeta_oct_seed_7,7,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2324,65,20,17,0.85,239,215954.14918230422,17,14,0.8235294117647058,0.8082276671619921,882.8325206079055,575.2640293765289,292.97522834706376,771.7152256193123,1738.8995093312042,2908.024258675539,barpeta_oct_seed_42,42,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2331,58,20,17,0.85,190,212474.1928374256,17,14,0.8235294117647058,0.8151706148438311,879.5362134954481,560.731062244987,285.7775466411783,745.1119980594545,1680.8687006162909,2898.8004949530127,barpeta_oct_seed_100,100,0.02,raster,2899777,28,2025-05-01,2025-10-31
