u,v,key,length,p_hazard_oct,p_buffer_hazard_oct
2364711810,11665421730,0,294.72565362870074,0.0,0.1357142857142857
2926152500,5775679643,0,2155.0600646200387,0.125,0.10700056915196357
4080112849,5797943025,0,3429.7580707620887,0.43478260869565216,0.4268689057421452
4911457376,2394032687,0,191.77451518905463,,
5054902333,5054902617,0,763.6624992710247,0.09375,0.16187594553706505
5054902510,5054902784,0,385.70035021481596,0.0,0.05099150141643059
5054902797,5054902784,0,666.2486100901515,0.14285714285714285,0.26260869565217393
5054904223,7779987219,0,645.084445579263,0.0,0.21454545454545454
5054904413,7779987205,0,123.3666692076865,0.3333333333333333,0.41007194244604317
5054904644,6115259296,0,502.8813942057422,0.0,0.05203619909502263
5452046978,13058638446,0,623.9609261143349,,
5760677614,5775680310,0,1457.8058002038915,0.31666666666666665,0.2935323383084577
5775678648,5775678635,0,1224.590731498978,,
5775680248,5775677618,0,1733.5547019817668,,
5775680310,5760677614,0,1457.8058002038913,0.3,0.2935323383084577
5775680340,5797942729,0,4073.1458139429574,0.036585365853658534,0.03839066339066339
5775680475,5797942674,0,3603.7351015259337,0.3310344827586207,0.343385880740233
5775680487,5775680340,0,991.0685560755102,0.36585365853658536,0.43605359317904996
5779960956,6627298085,0,382.0394192241328,,
5783970465,11184925854,0,1673.2247744737278,0.07352941176470588,0.11908284023668639
5789241678,5839997991,0,1818.9556516910898,0.0,0.017241379310344827
5797942099,5797942059,0,1804.7375178365621,0.0,0.05389221556886228
5797942153,5797942177,0,2523.0272750523814,0.2222222222222222,0.23850574712643677
5797942240,5797942218,0,2421.193248657367,0.043478260869565216,0.04509090909090909
5797942495,5783970453,0,5995.128789212957,0.17355371900826447,0.22951832029641828
5797942978,5797941809,0,2119.5238413312763,0.11538461538461539,0.2495201535508637
5797942978,5797942958,0,2595.4303178320047,0.10476190476190476,0.15230554261760595
5797943711,5797943717,0,2517.3532108376285,0.3235294117647059,0.46220095693779906
5797943711,5797943722,0,1013.2655868411531,0.16666666666666666,0.24231678486997635
5821327424,5821327740,1,747.8824502682874,,
5821327740,5821327424,0,1164.401140924316,,
5834837888,8677677557,0,1866.345305072499,0.42105263157894735,0.4139051332033788
6098916594,5496328031,0,403.4842259460286,,
6101924708,6114679324,0,83.82633339248719,,
6102082568,6101924763,0,1317.0775378573585,,
6102222824,10229426437,0,46.66991128972342,,
6115267062,5760680874,0,1250.2147831780512,0.0196078431372549,0.07969639468690702
6115281809,5821326595,0,565.9580597092712,0.0,0.05263157894736842
6115281809,5821326622,0,2478.847054477282,0.0891089108910891,0.12047595438770452
6115449981,6115449935,0,2149.269631357883,,
6627260175,6627260176,0,88.6123990504537,,
6627298100,6627298098,0,9.364136596917247,,
6627298103,6627298104,0,121.92689699964464,,
6627298104,8646878679,0,70.89541842607004,,
6627298128,6627298122,0,29.853226164899823,,
7779987197,5054902280,0,356.6428402038668,0.25,0.2329192546583851
7779987215,5054904223,0,746.5183553423358,0.03225806451612903,0.18111455108359134
8187367449,8187367459,0,59.55332341868562,,
8646871433,8646800064,0,32.88833280481513,,
8646878686,8646878687,0,20.951468739966256,,
9395489563,9395489686,0,38.58061088001926,,
11184926047,11184926003,0,3036.833074901787,0.07317073170731707,0.09331703341483293
11184926047,13144698059,0,723.0903399667709,0.5,0.45302013422818793
11297399715,5783970521,0,950.3498299995542,,
11327985008,11327985005,0,205.99896531901155,,
11652261886,13144698035,0,488.0799628310708,0.0,0.11162790697674418
11665418056,11665421894,0,5046.5044734342455,0.3627450980392157,0.453861097620204
11665421815,11665421756,0,1296.8624827820177,0.1320754716981132,0.17435424354243542
12033907198,11184940135,0,542.9486232195936,0.13043478260869565,0.3326271186440678
12033907256,12037340969,0,61.05488610045348,0.25,0.3023255813953488
12037340969,12033907256,0,61.05488610045347,0.25,0.3023255813953488
12037341380,1364843674,0,1245.3955261039678,0.1568627450980392,0.17051153460381144
12051475295,12051475304,0,1079.0979598714966,,
13144518656,11184925990,0,1035.7850573661358,0.0,0.060676779463243874
13144697893,13144698173,0,41.739445786292485,0.0,0.2878787878787879
13144698144,13144697893,0,900.7053356993925,0.2972972972972973,0.36114911080711354
13144698173,13144697880,0,425.25104022994213,0.2222222222222222,0.22905027932960895
