month,n_edges_total,n_failed_edges,n_trucks,n_routes_found,frac_routes_found,evac_edges_count,evac_total_length_m,n_exits,n_exits_reached,frac_exits_reached,access_frac,mean_dist,median_dist,dist_p50_m,dist_p75_m,dist_p90_m,dist_p95_m,scenario_id,seed,p_background,allocation_method,n_people_allocated,n_frames,date_start,date_end
oct,2339,50,20,17,0.85,212,214342.56433600755,17,14,0.8235294117647058,0.8082273223078879,882.8299625834499,575.2478643770805,292.95668929064516,771.7760687241573,1738.9243417554108,2908.024259105943,barpeta_oct_seed_42_pbg_0,42,0.0,raster,2899777,28,2025-05-01,2025-10-31
oct,2324,65,20,17,0.85,250,219886.43587392982,17,14,0.8235294117647058,0.8082273223078879,882.8299625834499,575.2478643770805,292.95668929064516,771.7760687241573,1738.9243417554108,2908.024259105943,barpeta_oct_seed_42_pbg_0p02,42,0.02,raster,2899777,28,2025-05-01,2025-10-31
oct,2292,97,20,17,0.85,251,221950.2952329236,17,14,0.8235294117647058,0.8082273223078879,882.8299625834499,575.2478643770805,292.95668929064516,771.7760687241573,1738.9243417554108,2908.024259105943,barpeta_oct_seed_42_pbg_0p05,42,0.05,raster,2899777,28,2025-05-01,2025-10-31
oct,2243,146,20,16,0.8,240,222988.96179131104,17,13,0.7647058823529411,0.8082273223078879,882.8299699014982,575.2478643770805,292.95668929064516,771.7760687241573,1738.9243417554108,2908.024259105943,barpeta_oct_seed_42_pbg_0p1,42,0.1,raster,2899777,28,2025-05-01,2025-10-31
oct,1841,548,20,3,0.15,70,80290.35696582758,17,3,0.17647058823529413,0.8011833323734894,914.186660349288,591.4593568521462,296.9368213637102,793.9869566040489,1852.2954730486454,3220.8238259397103,barpeta_oct_seed_42_pbg_0p5,42,0.5,raster,2899777,28,2025-05-01,2025-10-31
