u,v,key,length,p_hazard_oct,p_buffer_hazard_oct
245749879,5840078882,0,2285.5994837685666,,
1346388224,5501702834,0,203.59173297668207,,
1364843619,12037341380,0,401.614748535261,0.0,0.07142857142857142
1364843661,5054903777,0,5143.837714808143,0.02403846153846154,0.05912284952750182
2364711830,7700632339,0,4418.455882477385,0.19553072625698323,0.2398884239888424
2365222452,5054904644,0,1296.741413605956,0.03773584905660377,0.1568627450980392
5054902260,2364711576,0,3265.193736580045,0.05303030303030303,0.08141263940520446
5054902425,5054902406,0,711.8171383982028,0.1,0.12664473684210525
5054902502,11652261926,0,2634.508987980339,0.028037383177570093,0.04257288292457196
5054902797,5054902784,0,666.2486100901515,0.14285714285714285,0.26260869565217393
5054904223,7779987215,0,746.5183553423359,0.06451612903225806,0.18111455108359134
5054904644,2365222452,0,1296.741413605956,0.018867924528301886,0.1568627450980392
5058289942,6115281759,0,2064.808717588456,0.16666666666666666,0.19078947368421054
5496328031,6098916594,0,403.4842259460286,,
5501702850,2365493439,0,1960.9689420325296,0.0,0.012851897184822521
5501702889,1346388768,0,11.919519426739305,,
5760677614,5775680310,0,1457.8058002038915,0.31666666666666665,0.2935323383084577
5775677160,5775677161,0,640.4339066076878,,
5775677221,5775677253,0,812.3436916102038,,
5775677571,5775680277,0,389.05597144646094,,
5775678249,5775678246,0,71.61017652174098,,
5775678388,5775679200,0,2205.487209805644,,
5775678635,6098916594,0,254.0919082286087,,
5775680041,6098366849,0,144.88609172886166,,
5775680227,6115472869,0,2659.78477224476,,
5775680310,5783970465,0,5877.232917906586,0.10970464135021098,0.10663606010016695
5775680340,5775680487,0,991.0685560755101,0.36585365853658536,0.43605359317904996
5779959496,5779959523,0,5513.774902404629,,
5779959523,5779960289,0,21.107442206546054,,
5779960350,5779960336,0,1071.8388166924392,,
5779960353,5779960785,0,6482.648969719498,,
5779960667,6627298105,0,8.47015956760158,,
5779960783,6627298122,0,68.78845011472445,,
5779960846,8647011970,0,6.41590976156232,,
5779960849,8647011985,0,108.004919480844,,
5779960852,8646975392,0,40.426074458693535,,
5779960956,5779960852,0,245.0059300992948,,
5779960956,6627298085,0,382.0394192241328,,
5783970453,5797942495,0,5995.128789212958,0.18181818181818182,0.22951832029641828
5783970521,11297399708,0,609.8989721292425,,
5783970521,11297399715,0,950.3498299995543,,
5783970753,9395489708,0,80.16479454545964,,
5783970754,9395489947,0,139.60424457222052,,
5783970766,9395490213,0,617.0443608454065,,
5783970767,5783970769,0,240.47667155277747,,
5789241140,4080112309,0,2647.712458637607,0.14953271028037382,0.15916325602546613
5794288204,2926154979,0,1558.4911172436628,,
5794289018,5794289022,0,1167.4983387215789,,
5797942131,5797941852,0,2356.515374770512,0.052083333333333336,0.0825065274151436
5797942153,5797942177,0,2523.0272750523814,0.2222222222222222,0.23850574712643677
5797942240,5797942218,0,2421.193248657367,0.043478260869565216,0.04509090909090909
5797942495,5783970453,0,5995.128789212957,0.17355371900826447,0.22951832029641828
5797942495,5797942464,0,4903.538910049965,0.24873096446700507,0.2535429013140943
5797942674,5775680475,0,3603.735101525933,0.33793103448275863,0.343385880740233
5797942958,5797942978,0,2595.430317832004,0.09523809523809523,0.15230554261760595
5797943007,5797943025,0,2304.5547045095045,0.19148936170212766,0.22523461939520334
5797943025,4080112849,0,3429.7580707620878,0.427536231884058,0.4268689057421452
5797943314,5797944278,0,124.0686004411536,,
5797943708,5530500533,0,3126.664441549436,,0.020833333333333332
5797943711,5797943717,0,2517.3532108376285,0.3235294117647059,0.46220095693779906
5797944150,5797942253,0,1845.6685939167673,,
5812660159,5812660153,0,187.88483623913638,,
5812660178,5812660157,0,247.74149557427066,,
5812660180,5812660258,0,211.92055960057615,,
5812660181,6627298246,0,129.2083660873864,,
5812660258,6627298242,0,228.71499988142935,,
5812660272,11978991552,0,193.8590234387825,,
5812660283,5812660164,0,28.22161142203226,,
5821326363,5821326364,0,3684.069155124551,0.0,0.0016750418760469012
5821326364,5821326363,0,3684.069155124552,0.0,0.0016750418760469012
5821327426,5821327447,0,2799.212319539243,,
5821327865,5821327447,0,4154.318487923488,,
5821328367,5779960336,0,1665.8271275491477,,
5834837888,8677677557,0,1866.345305072499,0.42105263157894735,0.4139051332033788
5840078882,245749879,0,2285.599483768567,,
6098061166,5775677570,0,1183.2850196804,,
6098359972,6098360592,0,669.8920746541303,,
6098360592,6098359972,0,669.8920746541303,,
6098501909,5775679200,0,704.4125825464413,,
6101924696,6101924706,0,119.39931322981457,,
6101924696,6101924714,0,182.63827289970206,,
6101924764,7814556399,0,70.29959318544172,,
6101924769,5501702810,0,183.17240131364463,,
