u,v,key,length,p_hazard_oct,p_buffer_hazard_oct
1364843674,11665421720,0,1445.4207987850452,0.0847457627118644,0.10281923714759536
2364711830,7700632339,0,4418.455882477385,0.19553072625698323,0.2398884239888424
2365493413,6105051903,0,1298.0591875373586,0.0,0.02427637721755369
2394032604,6105047890,0,1727.6408154449705,,
2394032705,2394032700,0,135.86399875424163,,
4911457175,2394032705,0,949.1315649455115,,
5054902280,7779987197,0,356.64284020386674,0.1875,0.2329192546583851
5054902617,11665418003,0,674.602181059507,0.07142857142857142,0.1989795918367347
5054904112,11665421797,0,181.35943570606338,0.0,0.2032967032967033
5054904630,5054902260,0,1068.1141237545758,0.18181818181818182,0.1877058177826564
5501702782,5821326753,0,3651.2318166292102,0.013513513513513514,0.019768234492160874
5760680892,5760680874,0,821.3258482500185,0.029411764705882353,0.04353932584269663
5775677221,5775677216,0,260.85655400515117,,
5775678249,5775677253,0,683.8936695798086,,
5775680248,5775677618,0,1733.5547019817668,,
5775680310,5760677614,0,1457.8058002038913,0.3,0.2935323383084577
5775680310,5797942086,0,2141.420656336432,0.2413793103448276,0.2566168009205984
5775680475,5797942674,0,3603.7351015259337,0.3310344827586207,0.343385880740233
5775680487,5775680340,0,991.0685560755102,0.36585365853658536,0.43605359317904996
5779960289,5779960282,0,4775.251799136749,,
5779960330,5779960756,0,3470.8273172118716,,
5794289077,2394032727,0,270.26699622907955,,
5797942570,5797942606,0,3421.9083177317325,0.13043478260869565,0.17540687160940324
5797942674,5775680475,0,3603.735101525933,0.33793103448275863,0.343385880740233
5797942978,5797942990,0,1877.55519984607,0.09090909090909091,0.18426103646833014
5797943025,5797943007,0,2304.5547045095054,0.20212765957446807,0.22523461939520334
5797943711,5797943722,0,1013.2655868411531,0.16666666666666666,0.24231678486997635
5797943717,5797943711,0,2517.3532108376285,0.3137254901960784,0.46220095693779906
5812660180,6627298234,0,336.922707989491,,
5821326622,6115281809,0,2478.8470544772813,0.07920792079207921,0.12047595438770452
5821327359,5821327917,0,683.2837548993184,,
5839998078,5839997991,0,3722.7888386031586,0.006666666666666667,0.01407035175879397
6101924695,7814723311,0,26.849133754009642,,
6102222797,6102222803,1,156.96052363667872,,
6104983935,2365493565,0,1081.5929338521541,0.08888888888888889,0.14429530201342283
6627298114,6627298113,0,76.94863116413936,,
7814723311,6101924695,0,26.849133754009642,,
8646871417,8646871431,0,34.955581370750465,,
8647011829,8647011821,0,131.75155128731774,,
11184926047,13144698059,0,723.0903399667709,0.5,0.45302013422818793
11665418056,11665421894,0,5046.5044734342455,0.3627450980392157,0.453861097620204
11665421761,12033907198,0,1058.9328221249916,0.0,0.09232480533926585
11665421797,5054904112,0,181.35943570606335,0.0,0.2032967032967033
11665421867,11665421885,0,2399.2700642747445,0.18556701030927836,0.2216024340770791
11665421947,13144698108,0,538.2726750069462,0.21739130434782608,0.29653679653679654
11920763141,5779960782,0,300.73691908576427,,
11931526916,2391089966,0,1663.6253639387623,,
11978991552,11979001658,0,6839.663617960561,,
12033907198,11184940135,0,542.9486232195936,0.13043478260869565,0.3326271186440678
12033907256,12033907258,0,91.79323964312651,0.0,0.03636363636363636
12037341476,11665418003,0,1075.4962594138376,0.1590909090909091,0.25245901639344265
13058652611,6114715489,0,82.44804109978881,,
13144518656,11184926003,0,136.68926601317602,0.0,0.0945945945945946
13144697880,13144698108,0,202.47726436040392,0.2,0.25888324873096447
13144698035,11652261886,0,488.0799628310708,0.0,0.11162790697674418
13144698059,11184926047,0,723.0903399667709,0.5,0.45302013422818793
13144698059,13144698035,0,26.476118048334275,0.0,0.3157894736842105
13144698108,13144697880,0,202.47726436040392,0.2,0.25888324873096447
