u,v,key,length,p_hazard_oct,p_buffer_hazard_oct
1364843661,6101922032,0,3796.004363156703,0.0196078431372549,0.03660949868073879
1880368236,2391089966,0,206.5227123497066,,
2364711757,5054904533,0,163.43329940655352,0.25,0.26900584795321636
2364711757,5054904615,0,1199.2984394620016,0.1,0.12659470068694798
2391090090,2391090011,0,877.2520278044616,,
4080112849,5797943025,0,3429.7580707620887,0.43478260869565216,0.4268689057421452
5054902406,5054902425,0,711.8171383982028,0.13333333333333333,0.12664473684210525
5054902617,11665418003,0,674.602181059507,0.07142857142857142,0.1989795918367347
5054904223,7779987219,0,645.084445579263,0.0,0.21454545454545454
5054904413,7779987205,0,123.3666692076865,0.3333333333333333,0.41007194244604317
5054904533,2364711757,0,163.43329940655354,0.125,0.26900584795321636
5054904630,5054902260,0,1068.1141237545758,0.18181818181818182,0.1877058177826564
5496380412,5775677200,0,1771.3951563532778,,
5760677605,5760677614,0,945.5085421961896,0.05128205128205128,0.0850253807106599
5760677614,5775680310,0,1457.8058002038915,0.31666666666666665,0.2935323383084577
5775677570,6098061166,0,1183.2850196804,,
5775677618,5775677570,0,1577.8866608075039,,
5775680280,6098069741,0,992.2263487442187,,
5775680310,5760677614,0,1457.8058002038913,0.3,0.2935323383084577
5775680340,5775680487,0,991.0685560755101,0.36585365853658536,0.43605359317904996
5775680475,5797942674,0,3603.7351015259337,0.3310344827586207,0.343385880740233
5775680487,5797942059,0,414.7628164547177,0.16666666666666666,0.24598930481283424
5779959491,6102082526,0,328.70046047981793,,
5779960508,5779959496,0,3093.060564916433,,
5783970754,9395489878,0,428.827015427003,,
5783970769,9395490079,0,405.5255096120138,,
5783970786,5783970805,0,4717.808237001837,0.07894736842105263,0.07894046682402307
5794288966,6115456059,0,1877.7819107203309,0.012987012987012988,0.016916070266753416
5797942153,5797942177,0,2523.0272750523814,0.2222222222222222,0.23850574712643677
5797942177,5797942153,0,2523.027275052381,0.23529411764705882,0.23850574712643677
5797942614,5797942606,0,825.2817162479234,0.0,0.058992805755395686
5797942978,5797941809,0,2119.5238413312763,0.11538461538461539,0.2495201535508637
5797943711,5797943717,0,2517.3532108376285,0.3235294117647059,0.46220095693779906
5797943711,5797943722,0,1013.2655868411531,0.16666666666666666,0.24231678486997635
5797943711,5797943739,0,3376.191368922489,0.23357664233576642,0.33248361252731246
5797943717,5797943711,0,2517.3532108376285,0.3137254901960784,0.46220095693779906
5797944264,5797942153,0,885.5821212741522,,
5834837888,8677677557,0,1866.345305072499,0.42105263157894735,0.4139051332033788
6098064144,5775677570,0,455.57905696329965,,
6112480864,5789241304,0,720.5507067703652,0.0,0.06525285481239804
6115259296,5054904644,0,502.8813942057422,0.0,0.05203619909502263
6627260175,5779960849,0,94.00437326449067,,
6627298123,8646800064,0,146.45441879527672,,
11184925854,11184925969,0,789.6098009336147,0.3333333333333333,0.2984375
11184940135,12033907198,0,542.9486232195936,0.13043478260869565,0.3326271186440678
11665418003,5054902617,0,674.602181059507,0.07142857142857142,0.1989795918367347
11665418056,11665421894,0,5046.5044734342455,0.3627450980392157,0.453861097620204
11665421837,11665421826,0,885.3172144398782,0.35135135135135137,0.3936899862825789
11665421867,11665421885,0,2399.2700642747445,0.18556701030927836,0.2216024340770791
11665421885,11665421867,0,2399.2700642747445,0.1958762886597938,0.2216024340770791
11665421947,13144698108,0,538.2726750069462,0.21739130434782608,0.29653679653679654
11926976083,11926973484,0,310.07135409031685,,
12638320088,1346388768,0,2220.9803695576456,,
13144697880,13144698108,0,202.47726436040392,0.2,0.25888324873096447
13144697893,13144698144,0,900.7053356993925,0.32432432432432434,0.36114911080711354
13144698059,13144698035,0,26.476118048334275,0.0,0.3157894736842105
13144698108,11665421947,0,538.2726750069462,0.21739130434782608,0.29653679653679654
13144698144,13144697893,0,900.7053356993925,0.2972972972972973,0.36114911080711354
13144698151,13144697945,0,696.3012658807917,0.0,0.01565217391304348
13144698173,13144697880,0,425.25104022994213,0.2222222222222222,0.22905027932960895
