u,v,key,length,p_hazard_oct,p_buffer_hazard_oct
1352601538,5775678257,0,145.3005546784507,,
2364711854,5054904413,0,404.214427224347,0.0,0.11716621253405994
2365493565,6104983935,0,1081.592933852154,0.08888888888888889,0.14429530201342283
2595623560,11328018979,0,239.37739909148468,,
4080112849,5797943025,0,3429.7580707620887,0.43478260869565216,0.4268689057421452
5054902260,2364711576,0,3265.193736580045,0.05303030303030303,0.08141263940520446
5054902260,5054904630,0,1068.1141237545758,0.1590909090909091,0.1877058177826564
5054902280,7779987197,0,356.64284020386674,0.1875,0.2329192546583851
5054902333,5054902617,0,763.6624992710247,0.09375,0.16187594553706505
5054902406,5054902471,0,1377.0083418554914,0.2807017543859649,0.3229437229437229
5054902471,5054902406,0,1377.0083418554914,0.2807017543859649,0.3229437229437229
5054902617,11665418003,0,674.602181059507,0.07142857142857142,0.1989795918367347
5054902797,5054902784,0,666.2486100901515,0.14285714285714285,0.26260869565217393
5054904112,5054902915,0,167.37266592384356,0.0,0.11695906432748537
5054904223,7779987219,0,645.084445579263,0.0,0.21454545454545454
5054904413,7779987205,0,123.3666692076865,0.3333333333333333,0.41007194244604317
5054904533,2364711757,0,163.43329940655354,0.125,0.26900584795321636
5054904615,2364711757,0,1199.2984394620016,0.1,0.12659470068694798
5054904644,2365222452,0,1296.741413605956,0.018867924528301886,0.1568627450980392
5054904644,6115259296,0,502.8813942057422,0.0,0.05203619909502263
5452047111,2365222513,0,6383.597436136634,0.0,0.005911330049261084
5775679442,11168817993,0,841.4303035141394,0.0,0.03313253012048193
5775680340,5775680487,0,991.0685560755101,0.36585365853658536,0.43605359317904996
5779960330,8646747960,0,1098.0333374588374,,
5783970453,5797942495,0,5995.128789212958,0.18181818181818182,0.22951832029641828
5783970805,5783970786,0,4717.8082370018365,0.07894736842105263,0.07894046682402307
5797941809,5797942978,0,2119.523841331277,0.11538461538461539,0.2495201535508637
5797941850,5797942978,0,3081.7752765878345,0.2661290322580645,0.3352295814709468
5797942177,5797942153,0,2523.027275052381,0.23529411764705882,0.23850574712643677
5797942978,5797941850,0,3081.7752765878345,0.2661290322580645,0.3352295814709468
5797942978,5797942958,0,2595.4303178320047,0.10476190476190476,0.15230554261760595
5797942990,5797942978,0,1877.55519984607,0.1038961038961039,0.18426103646833014
5797943314,5797944278,0,124.0686004411536,,
5797943618,5797943661,0,48.247452715577005,,
5797943711,5797943717,0,2517.3532108376285,0.3235294117647059,0.46220095693779906
5797943717,5797943711,0,2517.3532108376285,0.3137254901960784,0.46220095693779906
5812660154,5812660285,0,91.59148070417156,,
5821326466,5821326491,0,2630.6956941224375,0.018691588785046728,0.022886501634750117
5821327740,5821327447,0,2395.7366265519427,,
5840078882,245749879,0,2285.599483768567,,
6102222824,10229441692,0,246.42674243712148,,
6105060754,6105060759,0,666.002321674954,,
6114723006,13058652610,0,397.47651509057596,,
6115281759,5058289942,0,2064.808717588456,0.16666666666666666,0.19078947368421054
6627298108,6627298128,0,156.01807699757114,,
7700632339,2364711830,0,4418.455882477384,0.19553072625698323,0.2398884239888424
8646871431,8646871433,0,14.987103617464514,,
8647011903,6627260182,0,59.15609250421566,,
8647011947,8647011954,0,4.043685838764442,,
11184925854,5783970465,0,1673.2247744737278,0.058823529411764705,0.11908284023668639
11184925969,11184925854,0,789.6098009336147,0.36363636363636365,0.2984375
11184926047,11184926003,0,3036.833074901787,0.07317073170731707,0.09331703341483293
11184926047,13144698059,0,723.0903399667709,0.5,0.45302013422818793
11184940135,12033907198,0,542.9486232195936,0.13043478260869565,0.3326271186440678
11665418056,11665421808,0,1393.8372662847273,0.017543859649122806,0.03312990409764603
11665418056,11665421894,0,5046.5044734342455,0.3627450980392157,0.453861097620204
11665421774,12037340969,0,333.96824065334533,0.4666666666666667,0.33559322033898303
11665421837,11665421826,0,885.3172144398782,0.35135135135135137,0.3936899862825789
11665421867,11665421885,0,2399.2700642747445,0.18556701030927836,0.2216024340770791
11665421885,11665421867,0,2399.2700642747445,0.1958762886597938,0.2216024340770791
11665421947,13144698108,0,538.2726750069462,0.21739130434782608,0.29653679653679654
11979011984,11979012387,0,922.7963002932706,,
12033907256,12037340969,0,61.05488610045348,0.25,0.3023255813953488
13144697880,13144698108,0,202.47726436040392,0.2,0.25888324873096447
13144697945,13144698151,0,696.3012658807917,0.0,0.01565217391304348
13144698059,13144698035,0,26.476118048334275,0.0,0.3157894736842105
13144698108,13144697880,0,202.47726436040392,0.2,0.25888324873096447
13144698144,13144697893,0,900.7053356993925,0.2972972972972973,0.36114911080711354
13144698173,13144697893,0,41.739445786292485,0.0,0.2878787878787879
