month,n_edges_total,n_failed_edges,n_trucks,n_routes_found,frac_routes_found,evac_edges_count,evac_total_length_m,n_exits,n_exits_reached,frac_exits_reached,access_frac,mean_dist,median_dist,dist_p50_m,dist_p75_m,dist_p90_m,dist_p95_m,scenario_id,seed,allocation_method,n_people_allocated,n_frames,date_start,date_end
oct,2331,58,20,18,0.9,254,275567.71175991156,17,15,0.8823529411764706,0.45,1582.5648692658444,1334.8252151402755,1321.3567032200283,2330.8370462205685,3703.771646172411,3939.6844367972285,barpeta_oct_seed_7,7,vector:popthresh,100,28,2025-05-01,2025-10-31
oct,2324,65,20,17,0.85,239,215954.14918230422,17,14,0.8235294117647058,0.46,2803.5934614624684,1334.8252151402755,1321.3567032200283,3657.4476698662197,6902.939855262929,13194.319460688324,barpeta_oct_seed_42,42,vector:popthresh,100,28,2025-05-01,2025-10-31
oct,2345,44,20,18,0.9,219,243380.57721238118,17,15,0.8823529411764706,0.39,2547.149093830795,1705.2358782082815,1629.5611469056012,3152.2804454555517,6604.120364160981,9593.066166477627,barpeta_oct_seed_101,101,vector:popthresh,100,28,2025-05-01,2025-10-31
oct,2329,60,20,20,1.0,328,302144.6445043772,17,17,1.0,0.61,1054.845719457831,618.7843126904401,616.8594244482032,1720.4923499542856,2292.3613973396486,2978.0399482948383,barpeta_oct_seed_202,202,vector:popthresh,100,28,2025-05-01,2025-10-31
oct,2320,69,20,20,1.0,238,276367.2453437097,17,17,1.0,0.4,1724.8965308591628,1646.9158861257758,1629.5611469056012,2359.746165003489,3505.0563518720523,3939.6844367972285,barpeta_oct_seed_404,404,vector:popthresh,100,28,2025-05-01,2025-10-31
